_id,InferredIntensity,Intensity,TimeStamp,WayID,OsmID,OsmName,Path,OsmSource,OsmTarget,clazz,flags,source,target,distanceKM,roadSpeedKMH,cost,reverseCost
ObjectId(55e4ea464cf714065f5eb829),0.80125,High,2015-09-01T00:00:06.528Z,7489,142055406,,"{""coordinates"":[[90.3798641,23.7705214],[90.3789573,23.7703559],[90.375471,23.7697227],[90.3751992,23.7696179],[90.3745779,23.7689913],[90.3729278,23.7686937]],""type"":""LineString""}",379957359,369037349,31,3,1799,1801,0.75103617,40,0.018775905,0.018775905
ObjectId(55e4ea464cf714065f5eb82a),0.536,Medium,2015-09-01T00:00:06.528Z,9125,215614778,Dhaka-Sylhet Highway,"{""coordinates"":[[90.5985753,23.818011],[90.599158,23.818577],[90.600293,23.81988],[90.60132,23.820957],[90.603592,23.823178],[90.604143,23.823888],[90.605108,23.825578],[90.605643,23.826203],[90.607923,23.828265],[90.612725,23.832935],[90.61525,23.8355],[90.618248,23.838663],[90.618752,23.839105],[90.622087,23.841578],[90.629487,23.847202],[90.63052,23.848348],[90.6318,23.850027],[90.634273,23.853108],[90.634827,23.853657],[90.635155,23.853885],[90.635712,23.854142],[90.639132,23.85527],[90.640783,23.855652],[90.643238,23.85613],[90.643977,23.856213],[90.64499,23.8562],[90.645742,23.856108],[90.648793,23.85544],[90.651358,23.855112],[90.661128,23.854617],[90.66499,23.85423],[90.666383,23.854022],[90.668035,23.8537],[90.670695,23.853038],[90.671342,23.853197],[90.671888,23.853438],[90.672962,23.854453],[90.673103,23.854655],[90.673282,23.855083],[90.673478,23.855857],[90.673493,23.856137],[90.673372,23.856778],[90.672717,23.859055],[90.671777,23.86123],[90.671412,23.86182],[90.669862,23.863968],[90.669183,23.865152],[90.668867,23.865892],[90.668667,23.86668],[90.66816,23.868253],[90.667867,23.87019],[90.667655,23.87122],[90.66748,23.872677],[90.667152,23.873982],[90.666742,23.876917],[90.666712,23.87744],[90.666853,23.878905],[90.666857,23.880158],[90.66652,23.882975],[90.66636,23.883552],[90.664765,23.887455],[90.664503,23.888397],[90.6644,23.890305],[90.664447,23.89204],[90.6645865,23.8930314]],""type"":""LineString""}",2250916142,264484134,13,1,6375,452,13.923169,90,0.15470187,0.15470187
ObjectId(55e4ea4d4cf714065f5eb82b),0.526166667,Medium,2015-09-01T00:00:13.488Z,6989,67559470,Dhaka Narayanganj Link Road,"{""coordinates"":[[90.4867319,23.6642444],[90.4863077,23.6655592],[90.4858249,23.6669545],[90.4855459,23.6678389],[90.4846662,23.6705805],[90.4839044,23.6729584],[90.4830568,23.675071],[90.4826921,23.6759946],[90.4825197,23.6767579]],""type"":""LineString""}",816996757,387381400,21,1,4817,2626,1.457016,60,0.0242836,0.0242836
ObjectId(55e4ea544cf714065f5eb82c),0.78475,Medium,2015-09-01T00:00:20.447Z,7490,142055406,,"{""coordinates"":[[90.3729278,23.7686937],[90.3728599,23.7684378],[90.3722699,23.7682864],[90.3720297,23.7669236],[90.3719409,23.7668087],[90.3698602,23.7664711]],""type"":""LineString""}",369037349,369037479,31,3,1801,5045,0.4758268,40,0.01189567,0.01189567
ObjectId(55e4ea5b4cf714065f5eb82d),0.8245,High,2015-09-01T00:00:27.631Z,6989,67559470,Dhaka Narayanganj Link Road,"{""coordinates"":[[90.4867319,23.6642444],[90.4863077,23.6655592],[90.4858249,23.6669545],[90.4855459,23.6678389],[90.4846662,23.6705805],[90.4839044,23.6729584],[90.4830568,23.675071],[90.4826921,23.6759946],[90.4825197,23.6767579]],""type"":""LineString""}",816996757,387381400,21,1,4817,2626,1.457016,60,0.0242836,0.0242836
ObjectId(55e4ea5c4cf714065f5eb82e),0.87625,High,2015-09-01T00:00:27.631Z,694,24256489,,"{""coordinates"":[[90.4212291,23.7343671],[90.4197686,23.7328033]],""type"":""LineString""}",262625910,262625911,31,3,372,373,0.22877496,40,0.005719374,0.005719374
ObjectId(55e4ea624cf714065f5eb82f),0.6715,Medium,2015-09-01T00:00:34.532Z,11048,295086825,Dhaka - Aricha Highway,"{""coordinates"":[[90.2730003,23.8798874],[90.2730163,23.8796512],[90.2730458,23.8792778],[90.2730863,23.8788817],[90.2731213,23.8783806],[90.2732106,23.8774778],[90.2732908,23.87631],[90.273322,23.8753264],[90.2733394,23.874778],[90.2732248,23.8733925],[90.2732057,23.8731609],[90.2730466,23.8721472]],""type"":""LineString""}",2521523167,346825408,13,7,7389,1159,0.8635401,80,0.010794251,1000000
ObjectId(55e4ea624cf714065f5eb830),1,High,2015-09-01T00:00:34.532Z,685,24225310,Meghna - Gumti Bridge,"{""coordinates"":[[90.6950719,23.5298587],[90.6999861,23.5301341],[90.7050741,23.5305089],[90.7087424,23.5307474],[90.7117747,23.5309291]],""type"":""LineString""}",262296652,262296659,13,1,367,359,1.7070372,90,0.01896708,0.01896708
ObjectId(55e4ea624cf714065f5eb831),0.841,High,2015-09-01T00:00:34.532Z,7490,142055406,,"{""coordinates"":[[90.3729278,23.7686937],[90.3728599,23.7684378],[90.3722699,23.7682864],[90.3720297,23.7669236],[90.3719409,23.7668087],[90.3698602,23.7664711]],""type"":""LineString""}",369037349,369037479,31,3,1801,5045,0.4758268,40,0.01189567,0.01189567
ObjectId(55e4ea694cf714065f5eb832),0.938166667,High,2015-09-01T00:00:41.511Z,6989,67559470,Dhaka Narayanganj Link Road,"{""coordinates"":[[90.4867319,23.6642444],[90.4863077,23.6655592],[90.4858249,23.6669545],[90.4855459,23.6678389],[90.4846662,23.6705805],[90.4839044,23.6729584],[90.4830568,23.675071],[90.4826921,23.6759946],[90.4825197,23.6767579]],""type"":""LineString""}",816996757,387381400,21,1,4817,2626,1.457016,60,0.0242836,0.0242836
ObjectId(55e4ea704cf714065f5eb833),0.68075,Medium,2015-09-01T00:00:48.462Z,463,15491650,Toyenbee Circular Road,"{""coordinates"":[[90.4197686,23.7328033],[90.4190372,23.7335055],[90.4182729,23.734305]],""type"":""LineString""}",262625911,387807601,31,3,373,3450,0.22602133,40,0.005650533,0.005650533
ObjectId(55e4ea704cf714065f5eb834),0.905,High,2015-09-01T00:00:48.462Z,7490,142055406,,"{""coordinates"":[[90.3729278,23.7686937],[90.3728599,23.7684378],[90.3722699,23.7682864],[90.3720297,23.7669236],[90.3719409,23.7668087],[90.3698602,23.7664711]],""type"":""LineString""}",369037349,369037479,31,3,1801,5045,0.4758268,40,0.01189567,0.01189567
